gene_name,epoch,loss
Mllt3,9,0.077934675
Mllt3,19,0.062497165
Mllt3,29,0.07083277
Mllt3,39,0.064483956
Mllt3,49,0.0666276
Coro2b,9,0.016582476
Coro2b,19,0.009153533
Coro2b,29,0.009083343
Coro2b,39,0.0040181326
Coro2b,49,0.0045978897
Coro2b,59,0.0026115738
Coro2b,69,0.0061665396
Coro2b,79,0.0038194181
Coro2b,89,0.0031769709
Hbb-y,9,0.07719742
Hbb-y,19,0.054013364
Hbb-y,29,0.056435965
Hbb-y,39,0.05337761
Hbb-y,49,0.061288815
Hbb-y,59,0.050922014
Hbb-y,69,0.047318727
Hbb-y,79,0.048082665
Hbb-y,89,0.04602028
Hbb-y,99,0.04827801
Hbb-y,109,0.042165898
Hbb-y,119,0.053643066
Hbb-y,129,0.03934165
Hbb-y,139,0.041075774
Hbb-y,149,0.03707398
Hbb-y,159,0.038610514
Hbb-y,169,0.03584153
Hbb-y,179,0.04504926
Hbb-y,189,0.067938246
Hbb-y,199,0.03735495
Rbms2,9,0.0787939
Rbms2,19,0.0650157
Rbms2,29,0.077784754
Rbms2,39,0.045380246
Rbms2,49,0.023602594
Rbms2,59,0.006880575
Rbms2,69,0.014538283
Rbms2,79,0.016220704
Rbms2,89,0.010212798
Hba-x,9,0.058014534
Hba-x,19,0.037757598
Hba-x,29,0.035496004
Hba-x,39,0.03779007
Hba-x,49,0.04205223
Hba-x,59,0.029899785
Hba-x,69,0.02995634
Hba-x,79,0.030010277
Hba-x,89,0.032264646
Phc2,9,0.012589606
Phc2,19,0.009008176
Phc2,29,0.016405536
Phc2,39,0.01373366
Phc2,49,0.014486252
Nfkb1,9,0.00815339
Nfkb1,19,0.005523727
Nfkb1,29,0.0037490684
Nfkb1,39,0.0063549653
Nfkb1,49,0.0069139027
Nfkb1,59,0.003816832
Smarca2,9,0.021342587
Smarca2,19,0.009140946
Smarca2,29,0.015230699
Smarca2,39,0.010485814
Smarca2,49,0.006030058
Smarca2,59,0.007313998
Smarca2,69,0.013878877
Smarca2,79,0.002242013
Smarca2,89,0.0029970824
Smarca2,99,0.0032357955
Smarca2,109,0.004543799
Skap1,9,0.007903655
Skap1,19,0.008237306
Skap1,29,0.007771158
Skap1,39,0.006669119
Skap1,49,0.007431631
Skap1,59,0.008074389
Skap1,69,0.005600193
Skap1,79,0.006283658
Skap1,89,0.0060298704
Skap1,99,0.0068873917
Blvrb,9,0.09235878
Blvrb,19,0.06837281
Blvrb,29,0.071100816
Blvrb,39,0.063050196
Blvrb,49,0.06296097
Blvrb,59,0.07909174
Blvrb,69,0.0727173
Blvrb,79,0.067801386
Sulf2,9,0.025571352
Sulf2,19,0.02050472
Sulf2,29,0.009965594
Sulf2,39,0.018074673
Sulf2,49,0.0067123184
Sulf2,59,0.016608119
Sulf2,69,0.008645283
Sulf2,79,0.006023055
Sulf2,89,0.0067614955
Sulf2,99,0.0046062926
Sulf2,109,0.003338421
Sulf2,119,0.0056802123
Sulf2,129,0.005824796
Sulf2,139,0.005563495
Smim1,9,0.074573375
Smim1,19,0.074636504
Smim1,29,0.058351904
Smim1,39,0.05205761
Smim1,49,0.04168633
Smim1,59,0.044139773
Smim1,69,0.035194386
Smim1,79,0.032536432
Smim1,89,0.043649238
Smim1,99,0.029925715
Smim1,109,0.029775733
Smim1,119,0.03187199
Smim1,129,0.030889735
Smim1,139,0.024500027
Smim1,149,0.0331635
Smim1,159,0.032891154
Smim1,169,0.029434517
Myo1b,9,0.014579776
Myo1b,19,0.010141935
Myo1b,29,0.009296978
Myo1b,39,0.0076463944
Myo1b,49,0.016394828
Myo1b,59,0.0036945962
Myo1b,69,0.0052385363
Myo1b,79,0.0040334235
Myo1b,89,0.004265424
Yipf5,9,0.062000897
Yipf5,19,0.06058844
Yipf5,29,0.027738256
Yipf5,39,0.03962532
Yipf5,49,0.019130269
Yipf5,59,0.011509727
Yipf5,69,0.013080282
Yipf5,79,0.009708962
Yipf5,89,0.0097268345
Yipf5,99,0.013363812
Yipf5,109,0.012601809
